"track","artist","genre","total_words","good_words","unique_words"
"Walk On the Wild Side","Lou Reed","ROCK",179,170,8
"Dear Mr. Fantasy","Traffic","ROCK",35,17,14
"If You Tolerate This Your Children Will Be Next","Manic Street Preachers","ROCK",18,11,6
"Alright","Supergrass","ROCK",25,12,11
"End Of The Line","Traveling Wilburys","ROCK",99,14,12
"Taking Me Back","Jack White","ROCK",57,14,5
"Bitter Sweet Symphony","The Verve","ROCK",250,64,16
"Aqualung","Jethro Tull","ROCK",46,25,25
"Ruby","Kaiser Chiefs","ROCK",42,11,3
"Time Of The Season","The Zombies","ROCK",158,33,13
"Funk #49","James Gang","ROCK",30,12,12
"Alone Again","Dokken","ROCK",43,7,7
"Are You Gonna Go My Way","Lenny Kravitz","ROCK",21,4,4
"Thunder Kiss '65","White Zombie","ROCK",61,32,18
"Wind Of Change","Scorpions","ROCK",235,102,36
"Knockin' On Heaven's Door","Bob Dylan","ROCK",10,8,6
"Higher Love","Steve Winwood","ROCK",148,63,12
"Just Like Paradise","David Lee Roth","ROCK",352,111,53
"Wonderful Tonight","Eric Clapton","ROCK",57,19,14
"More Than This","Roxy Music","ROCK",37,2,2
"Evil","Interpol","ROCK",64,15,14
"Celebrity Skin","Hole","ROCK",21,7,6
"Judith","A Perfect Circle","ROCK",50,12,12
"The Distance","CAKE","ROCK",146,41,15
"I'm Not In Love","10cc","ROCK",92,27,15
"Hate To Say I Told You So","The Hives","ROCK",44,14,13
"Lightning Crashes","Live","ROCK",11,6,5
"Don't Look Back into the Sun","The Libertines","ROCK",205,35,26
"You Can Call Me Al","Paul Simon","ROCK",34,10,6
"Supermassive Black Hole","Muse","ROCK",145,79,15
"Schism","TOOL","ROCK",42,18,5
"I Wanna Be Somebody","W.A.S.P.","ROCK",280,68,43
"First","Cold War Kids","ROCK",100,33,7
"Madhouse","Anthrax","ROCK",183,65,22
"Drive","Incubus","ROCK",38,4,4
"Chelsea Dagger","The Fratellis","ROCK",11,4,4
"Can't You See","The Marshall Tucker Band","ROCK",156,35,21
"Bad Penny","Rory Gallagher","ROCK",261,71,50
"Long Cool Woman (In a Black Dress) - 1999 Remaster","The Hollies","ROCK",262,92,66
"Sweet Dreams, TN","The Last Shadow Puppets","ROCK",36,20,17
"If You Wanna","The Vaccines","ROCK",124,33,4
"The Adults Are Talking","The Strokes","ROCK",46,12,12
"Friend of the Devil","Grateful Dead","ROCK",35,14,11
"Bobby Brown Goes Down","Frank Zappa","ROCK",136,38,25
"One Headlight","The Wallflowers","ROCK",3,2,2
"Dakota","Stereophonics","ROCK",122,3,3
"Willin'","Little Feat","ROCK",56,18,16
"Flirtin' with Disaster","Molly Hatchet","ROCK",39,19,14
"Everybody's Talkin' - From ""Midnight Cowboy""","Harry Nilsson","ROCK",176,74,37
"Love Will Tear Us Apart - 2020 Remaster","Joy Division","ROCK",17,11,10
"Running on Empty","Jackson Browne","ROCK",57,16,11
"Call Me","Blondie","ROCK",241,109,23
"Do Your Worst","Rival Sons","ROCK",58,14,7
"Balls to the Wall","Accept","ROCK",273,111,31
"Creep","Radiohead","ROCK",45,13,10
"Town Called Malice","The Jam","ROCK",80,41,28
"Cherry Pie","Warrant","ROCK",17,10,8
"Bohemian Like You","The Dandy Warhols","ROCK",16,14,5
"Jane","Jefferson Starship","ROCK",216,88,34
"Mr. Jones","Counting Crows","ROCK",13,5,4
"Eternal Flame","The Bangles","ROCK",262,99,28
"Closer","Nine Inch Nails","ROCK",87,23,22
"Hey Jealousy","Gin Blossoms","ROCK",19,7,5
"Suffocation Blues","Black Pistol Fire","ROCK",3,3,3
"Amsterdam","Nothing But Thieves","ROCK",77,21,11
"Mind Over Matter (Reprise)","Young the Giant","ROCK",160,67,37
"Miss Alissa","Eagles Of Death Metal","ROCK",269,95,29
"Lazy Eye","Silversun Pickups","ROCK",15,7,6
"Dancing In the Dark","Bruce Springsteen","ROCK",5,3,3
"She Hates Me","Puddle Of Mudd","ROCK",59,49,9
"River of Deceit","Mad Season","ROCK",27,9,7
"I Put a Spell on You (feat. Joss Stone)","Jeff Beck","ROCK",56,12,6
"Lump","The Presidents Of The United States Of America","ROCK",36,15,5
"Werewolves of London - 2007 Remaster","Warren Zevon","ROCK",331,234,92
"You're Gonna Go Far, Kid","The Offspring","ROCK",45,20,15
"I Know What I Am","Band Of Skulls","ROCK",119,2,2
"If I Had A Gun...","Noel Gallagher's High Flying Birds","ROCK",118,31,22
"Ghost","Badflower","ROCK",121,31,28
"Solsbury Hill","Peter Gabriel","ROCK",43,13,11
"Another Brick in the Wall, Pt. 2","Pink Floyd","ROCK",104,37,19
"My Body Is a Cage","Arcade Fire","ROCK",30,21,7
"Tongue Tied","Grouplove","ROCK",114,47,16
"Take on the World","You Me At Six","ROCK",42,7,4
"Smells Like Teen Spirit - Remastered","Nirvana","ROCK",206,177,169
"Munich","Editors","ROCK",67,18,8
"A Horse with No Name","America","ROCK",121,80,9
"Banquet","Bloc Party","ROCK",105,21,8
"Incinerate","Sonic Youth","ROCK",10,10,3
"Brown Eyed Girl","Van Morrison","ROCK",57,51,11
"Stupid Girl","Garbage","ROCK",31,28,10
"Pumped Up Kicks","Foster The People","ROCK",109,45,10
"Black and Red","Reignwolf","ROCK",120,27,18
"Buck Rogers","Feeder","ROCK",85,33,11
"Me and Bobby McGee","Janis Joplin","ROCK",188,158,15
"Semi-Charmed Life","Third Eye Blind","ROCK",30,26,6
"Come Closer","Miles Kane","ROCK",25,24,5
"The Killing Moon","Echo & the Bunnymen","ROCK",90,20,8
"Cigarette Daydreams","Cage The Elephant","ROCK",55,22,17
"This Charming Man - 2011 Remaster","The Smiths","ROCK",428,259,225
"Movin' on Up","Primal Scream","ROCK",205,69,6
"What You Know","Two Door Cinema Club","ROCK",52,4,4
"Are You Gonna Be My Girl","Jet","ROCK",52,13,7
"Runaway Train","Soul Asylum","ROCK",27,16,9
"The Middle","Jimmy Eat World","ROCK",156,36,23
"Song To Sing When I'm Lonely","John Frusciante","ROCK",70,20,10
"Black Holes (Solid Ground)","The Blue Stones","ROCK",82,41,31
"Steppin' Out","Joe Jackson","ROCK",53,22,6
"For What It's Worth","Buffalo Springfield","ROCK",96,38,20
"Blood // Water","grandson","ROCK",126,36,16
"Spread Your Love","Black Rebel Motorcycle Club","ROCK",166,50,7
"Lady In Black","Uriah Heep","ROCK",148,147,5
"She's Casual","The Hunna","ROCK",29,8,7
"Lonely","Palaye Royale","ROCK",78,24,11
"Johnny B. Goode","Chuck Berry","ROCK",28,9,4
"Sail","AWOLNATION","ROCK",30,14,4
"I Believe in a Thing Called Love","The Darkness","ROCK",50,15,11
"Come Together","Gary Clark Jr.","ROCK",23,2,2
"Naive","The Kooks","ROCK",72,12,7
"Anarchy In The UK","Sex Pistols","ROCK",29,12,8
"America","Razorlight","ROCK",26,6,4
"Sister Christian","Night Ranger","ROCK",28,9,7
"She","Elvis Costello","ROCK",5,2,2
"Sing","Travis","ROCK",51,29,7
"Crazy Bitch","Buckcherry","ROCK",14,6,5
"Tomorrow","Silverchair","ROCK",34,29,8
"Never in My Wildest Dreams","Dan Auerbach","ROCK",150,51,33
"Up Where We Belong","Joe Cocker","ROCK",27,11,8
"Run-Around","Blues Traveler","ROCK",515,120,92
"I'm a Believer - 2006 Remaster","The Monkees","ROCK",428,259,225
"Tribute","Tenacious D","ROCK",100,39,36
"Sweet Disaster","DREAMERS","ROCK",25,25,5
"Lydia","Highly Suspect","ROCK",30,13,13
"Metalingus","Alter Bridge","ROCK",55,20,14
"Raining Blood","Slayer","ROCK",3,3,3
"Touch, Peel And Stand","Days Of The New","ROCK",373,93,18
"Enter Sandman","Metallica","ROCK",156,53,29
"Far Behind","Candlebox","ROCK",417,95,52
"Through Glass","Stone Sour","ROCK",65,25,8
"Do You Realize??","The Flaming Lips","ROCK",18,6,4
"Amber","311","ROCK",18,8,7
"Friday I'm In Love","The Cure","ROCK",56,24,18
"Charlemagne","Blossoms","ROCK",38,15,11
"Hallelujah","Jeff Buckley","ROCK",15,15,3
"hometown","cleopatrick","ROCK",45,12,11
"Don't You (Forget About Me)","Simple Minds","ROCK",79,62,7
"My Number","Foals","ROCK",33,9,7
"Photograph","Ringo Starr","ROCK",36,8,7
"Farewell To The Fairground","White Lies","ROCK",59,19,16
"Mother","Danzig","ROCK",28,8,7
"Short Change Hero","The Heavy","ROCK",88,16,7
"I Miss Having Sex But At Least I Don't Wanna Die Anymore","Waterparks","ROCK",77,21,10
"Put a Flower in Your Pocket","The Arcs","ROCK",74,27,22
"T-Shirt Weather","Circa Waves","ROCK",20,10,5
"Get Free","The Vines","ROCK",213,47,21
"Owner of a Lonely Heart","Yes","ROCK",199,91,19
"Every You Every Me","Placebo","ROCK",57,4,4
"All I Want To Hear You Say","Sea Girls","ROCK",34,7,6
"Superman's Dead","Our Lady Peace","ROCK",32,11,7
"Jamie All Over","Mayday Parade","ROCK",62,19,17
"The Red","Chevelle","ROCK",54,22,12
"Roots Bloody Roots","Sepultura","ROCK",4,4,3
"Space Cadet","Kyuss","ROCK",46,18,17
"Laid","James","ROCK",4,4,3
"Let My Love Open The Door","Pete Townshend","ROCK",7,3,3
"Love Shack","The B-52's","ROCK",527,265,64
"Screaming in the Night","Krokus","ROCK",184,70,15
"Rich Girl","Daryl Hall & John Oates","ROCK",239,68,10
"Indigo Puff","Sundara Karma","ROCK",68,10,9
"Freeze Me","Death From Above 1979","ROCK",21,8,5
"All I Wanna Do","Sheryl Crow","ROCK",148,45,11
"Because the Night","Patti Smith","ROCK",64,29,8
"The Final Countdown","Europe","ROCK",155,53,18
"Africa","TOTO","ROCK",72,24,10
"My Sacrifice","Creed","ROCK",19,3,3
"Soulshine","Gov't Mule","ROCK",324,111,53
"Chloe Dancer/Crown Of Thorns","Mother Love Bone","ROCK",363,103,59
"Society","Eddie Vedder","ROCK",52,21,10
"Feel the Pain","Dinosaur Jr.","ROCK",44,12,12
"7","Catfish and the Bottlemen","ROCK",75,11,9
"Nearly Lost You","Screaming Trees","ROCK",37,10,4
"Loved You A Little (with Taking Back Sunday and Charlotte Sands)","The Maine","ROCK",513,364,330
"Not Nineteen Forever","Courteeners","ROCK",28,10,4
"Everybody Talks","Neon Trees","ROCK",49,18,11
"Do You Believe in Magic?","The Lovin' Spoonful","ROCK",50,7,4
"Off The Ground","The Record Company","ROCK",38,21,11
"Shut Up and Dance","WALK THE MOON","ROCK",22,24,6
"Don't Dream It's Over","Crowded House","ROCK",47,19,8
"Black And White Town","Doves","ROCK",30,15,10
"Time in a Bottle","Jim Croce","ROCK",5,3,3
"Hold On","Alabama Shakes","ROCK",19,11,4
"Glitter & Gold","Barns Courtney","ROCK",39,33,5
"Eye of the Tiger","Survivor","ROCK",25,11,4
"Smooth Criminal","Alien Ant Farm","ROCK",110,26,16
"Whatever You Want","Status Quo","ROCK",7,2,2
"Train, Train","Blackfoot","ROCK",120,46,19
"I Don't Wanna Be Me","Type O Negative","ROCK",69,17,5
"We Got The Beat","The Go-Go's","ROCK",59,18,7
"Choke","I DONT KNOW HOW BUT THEY FOUND ME","ROCK",150,63,37
"Twisted","MISSIO","ROCK",125,47,14
"Monster","PVRIS","ROCK",215,75,47
"Rock Candy","Montrose","ROCK",86,29,21
"S.O.S. (Sawed Off Shotgun)","The Glorious Sons","ROCK",100,40,15
"Wolf in Sheep's Clothing","Set It Off","ROCK",179,68,22
"In Too Deep","Sum 41","ROCK",82,7,4
"I Stand Alone","Jackyl","ROCK",304,63,35
"Little Dark Age","MGMT","ROCK",15,8,7
"After Midnight","J.J. Cale","ROCK",166,56,16
"Still Got The Blues","Gary Moore","ROCK",183,40,25
"The Kill","Thirty Seconds To Mars","ROCK",87,17,12
"Bound For The Floor","Local H","ROCK",10,4,4
"Mr. Brightside","The Killers","ROCK",12,3,3
"Bridge of Sighs - 2007 Remaster","Robin Trower","ROCK",93,45,23
"30 Days In The Hole","Humble Pie","ROCK",6,4,4
"parents","YUNGBLUD","ROCK",32,3,3
"Jesus, Etc.","Wilco","ROCK",25,7,5
"More Than Words","Extreme","ROCK",7,3,3
"Unsung","Helmet","ROCK",88,32,28
"I Feel Love (Every Million Miles)","The Dead Weather","ROCK",78,36,21
"Renegades","X Ambassadors","ROCK",185,130,34
"All I Want","Toad The Wet Sprocket","ROCK",87,20,8
"Future Starts Slow","The Kills","ROCK",112,37,12
"Cats In The Cradle","Ugly Kid Joe","ROCK",92,26,13
"Down for Life","Testament","ROCK",320,70,44
"Livin' On A Prayer","Bon Jovi","ROCK",86,33,8
"Dear Maria, Count Me In","All Time Low","ROCK",32,13,10
"broken","lovelytheband","ROCK",62,17,6
"Just Like Honey","The Jesus and Mary Chain","ROCK",55,19,3
"Piano Man","Billy Joel","ROCK",3,2,2
"If You Could Read My Mind","Gordon Lightfoot","ROCK",49,7,7
"Dreams - 2004 Remaster","Fleetwood Mac","ROCK",498,313,276
"Wish You Were Here","Neck Deep","ROCK",122,25,21
"Blame It on the Boom Boom","Black Stone Cherry","ROCK",394,152,40
"Good Luck","Broken Bells","ROCK",35,16,9
"Blister In The Sun","Violent Femmes","ROCK",27,7,5
"Green Grass & High Tides","The Outlaws","ROCK",6,4,4
"Out of My League","Fitz and The Tantrums","ROCK",102,27,5
"It's A Trip!","Joywave","ROCK",47,9,9
"Wolf Like Me","TV On The Radio","ROCK",201,84,54
"Sarcasm","Get Scared","ROCK",150,54,37
"A Song For The Lovers","Richard Ashcroft","ROCK",123,29,14
"Down Under","Men At Work","ROCK",177,63,13
"If You Can't Hang","Sleeping With Sirens","ROCK",40,15,8
"Is There Anybody Out There?","Machine Head","ROCK",441,116,76
"Centuries","Fall Out Boy","ROCK",48,18,11
"Backwater","Meat Puppets","ROCK",2,2,2
"Cut You In","Jerry Cantrell","ROCK",31,9,5
"Blue Monday '88","New Order","ROCK",58,31,21
"Stuck on the puzzle","Alex Turner","ROCK",42,12,9
"Float On","Modest Mouse","ROCK",67,21,7
"Sex on Fire","Kings of Leon","ROCK",36,14,7
"New York Groove","Ace Frehley","ROCK",280,79,35
"High Enough","Damn Yankees","ROCK",152,33,12
"Golden","My Morning Jacket","ROCK",45,15,14
"Eyes Of A Panther","Steel Panther","ROCK",319,114,74
"Fly To The Angels","Slaughter","ROCK",221,101,23
"Slave To Love","Bryan Ferry","ROCK",26,16,6
"Brazil","Declan McKenna","ROCK",109,35,12
"Honey Bucket","Melvins","ROCK",91,39,38
"My Honest Face","Inhaler","ROCK",33,6,4
"Novocaine","The Unlikely Candidates","ROCK",180,49,24
"Feel It Still","Portugal. The Man","ROCK",143,46,31
"1985","Bowling For Soup","ROCK",106,44,26
"The Ballad Of Jayne","L.A. Guns","ROCK",214,63,39
"Glasgow","The Snuts","ROCK",33,7,7
"Radar Love","Golden Earring","ROCK",44,14,7
"I Want Out","Helloween","ROCK",51,8,5
"Dragula","Rob Zombie","ROCK",19,8,8
"Freak On a Leash","Korn","ROCK",129,37,26
"Inside Out","Spoon","ROCK",3,2,2
"Iris","The Goo Goo Dolls","ROCK",29,3,3
"Good Thing","Fine Young Cannibals","ROCK",109,8,4
"Everything's Electric","Liam Gallagher","ROCK",46,16,16
"Teenagers","My Chemical Romance","ROCK",74,29,15
"Wish I Knew You","The Revivalists","ROCK",75,14,11
"Everybody Wants To Rule The World","Tears For Fears","ROCK",61,18,14
"Every Morning","Sugar Ray","ROCK",133,60,13
"Beds Are Burning","Midnight Oil","ROCK",23,10,9
"Gives You Hell","The All-American Rejects","ROCK",109,31,9
"Two Princes","Spin Doctors","ROCK",80,24,12
"Golden Brown","The Stranglers","ROCK",73,38,5
"Waiting for the Thunder","Blackberry Smoke","ROCK",57,24,18
"Best Day Of My Life","American Authors","ROCK",197,57,39
"My Type","Saint Motel","ROCK",49,16,8
"Can You Feel My Heart","Bring Me The Horizon","ROCK",98,37,9
"Set to Attack","Albert Hammond Jr","ROCK",16,10,5
"Pretend We're Dead","L7","ROCK",204,65,7
"Bohemian Rhapsody - Remastered 2011","Queen","ROCK",265,192,181
"Chop Suey!","System Of A Down","ROCK",191,77,27
"Life is Golden","Suede","ROCK",69,17,12
"I Stand Alone","Godsmack","ROCK",112,37,17
"I Need Some Sleep","Eels","ROCK",26,3,3
"Bobcaygeon","The Tragically Hip","ROCK",18,7,6
"Wild World","Yusuf / Cat Stevens","ROCK",76,29,10
"All The Small Things","blink-182","ROCK",83,49,9
"Ocean Avenue","Yellowcard","ROCK",95,25,22
"Fvck Somebody","The Wrecks","ROCK",89,21,11
"Chasing Cars","Snow Patrol","ROCK",23,9,8
"Step Aside","Goodbye June","ROCK",24,12,6
"One Day Like This","Elbow","ROCK",173,51,6
"Itchycoo Park","Small Faces","ROCK",81,18,12
"The Anthem","Good Charlotte","ROCK",89,28,11
"Lightning Bolt","Jake Bugg","ROCK",32,14,13
"The Reason","Hoobastank","ROCK",30,9,6
"Everybody","DON BROCO","ROCK",143,57,29
"Shimmer","Fuel","ROCK",8,4,4
"oh baby","LCD Soundsystem","ROCK",20,7,6
"The Taste of Ink","The Used","ROCK",5,3,3
"When You Sleep","my bloody valentine","ROCK",51,8,7
"Seventeen","Winger","ROCK",275,75,43
"Popular Monster","Falling In Reverse","ROCK",22,9,7
"Waiting Room","Fugazi","ROCK",183,43,21
"Kings of Metal","Manowar","ROCK",301,130,43
"Sticks 'N' Stones","Jamie T","ROCK",196,70,22
"High Enough","K.Flay","ROCK",81,23,12
"Pets","Porno for Pyros","ROCK",51,14,12
"Here It Goes Again","OK Go","ROCK",82,11,4
"Touch Me I'm Sick","Mudhoney","ROCK",150,38,25
"Piece of My Heart","Big Brother & The Holding Company","ROCK",207,68,14
"Clairvoyant","The Story So Far","ROCK",13,5,5
"Rita Is Gone","The Marcus King Band","ROCK",47,8,3
"Books From Boxes","Maximo Park","ROCK",36,18,11
"Tempted","Squeeze","ROCK",55,24,8
"Seize the Power","YONAKA","ROCK",17,7,6
"Blood and Thunder","Mastodon","ROCK",12,11,8
"So Into You","Atlanta Rhythm Section","ROCK",44,12,10
"Blue on Black","Kenny Wayne Shepherd","ROCK",12,7,4
"Everywhere I Go","Hollywood Undead","ROCK",266,85,17
"Centerfield","John Fogerty","ROCK",83,29,25
"Everyday People","Sly & The Family Stone","ROCK",10,8,6
"Unstoppable","The Score","ROCK",30,13,4
"Barbarella","Scott Weiland","ROCK",302,120,63
"S.O.B.","Nathaniel Rateliff & The Night Sweats","ROCK",38,17,6
"Gimme Some Lovin' - Single Mix","The Spencer Davis Group","ROCK",53,22,20
"King For A Day","Pierce The Veil","ROCK",79,27,26
"Cult of Personality","Living Colour","ROCK",23,7,6
"It's Been Awhile","Staind","ROCK",29,8,6
"Daft Pretty Boys","Bad Suns","ROCK",150,66,21
"Love My Way","The Psychedelic Furs","ROCK",24,22,5
"The Kid I Used to Know","Arrested Youth","ROCK",41,7,6
"Dreaming of You","The Coral","ROCK",187,73,30
"Happy Pills","Weathers","ROCK",50,18,9
"Keep Your Hands to Yourself","The Georgia Satellites","ROCK",33,10,9
"Happy?","Mudvayne","ROCK",85,31,12
"Stone the Crow","DOWN","ROCK",72,27,18
"High Hopes","Panic! At The Disco","ROCK",355,82,23
"Rising Force","Yngwie Malmsteen","ROCK",188,87,48
"Zombie","The Cranberries","ROCK",2,2,2
"Close My Eyes Forever","Lita Ford","ROCK",18,12,6
"Cannonball","The Breeders","ROCK",22,10,5
"Summer Of '69","Bryan Adams","ROCK",39,17,8
"Many of Horror","Biffy Clyro","ROCK",7,3,3
"When the Sun Hits","Slowdive","ROCK",86,40,13
"In The End","Black Veil Brides","ROCK",287,72,25
"Edge of Seventeen - 2016 Remaster","Stevie Nicks","ROCK",498,313,276
"Inertiatic Esp","The Mars Volta","ROCK",37,8,7
"I Love Rock 'N Roll","Joan Jett & The Blackhearts","ROCK",143,60,10
"Windowpane","Opeth","ROCK",23,12,12
"Somewhere Only We Know","Keane","ROCK",30,2,2
"Possum Kingdom","Toadies","ROCK",63,30,11
"Only Wanna Be with You","Hootie & The Blowfish","ROCK",37,10,6
"A-Punk","Vampire Weekend","ROCK",12,11,4
"This Mess We're In","PJ Harvey","ROCK",26,12,6
"Alrighty Aphrodite","Peach Pit","ROCK",55,19,10
"I Can't Make You Love Me","Bonnie Raitt","ROCK",71,15,11
"Heads Will Roll - A-Trak Remix","Yeah Yeah Yeahs","ROCK",498,313,276
"When the Children Cry","White Lion","ROCK",76,20,14
"Harlem","New Politics","ROCK",79,25,15
"An Honest Mistake","The Bravery","ROCK",58,15,4
"Let’s Get The Party Started (feat. Bring Me The Horizon)","Tom Morello","ROCK",502,345,310
"Footloose","Kenny Loggins","ROCK",125,56,22
"Take Her Back","The Pigeon Detectives","ROCK",164,3,3
"Sex & Candy","Marcy Playground","ROCK",59,31,17
"Change (In the House of Flies)","Deftones","ROCK",19,8,6
"Pink Moon","Nick Drake","ROCK",12,7,4
"Situations","Escape the Fate","ROCK",65,30,16
"Evil","Mercyful Fate","ROCK",45,17,13
"Californication","Red Hot Chili Peppers","ROCK",14,10,4
"The Afterglow","Silverstein","ROCK",40,8,6
"We Are Young (feat. Janelle Monáe)","fun.","ROCK",24,9,9
"High","Sir Sly","ROCK",34,14,12
"It's Too Late","Carole King","ROCK",166,37,16
"Somebody Else","The 1975","ROCK",311,50,18
"Hard to Beat","Hard-FI","ROCK",75,19,10
"We All Float Down Here","Four Year Strong","ROCK",46,16,15
"Trouble","Lindsey Buckingham","ROCK",210,32,15
"Cupid's Arrow","Frank Carter & The Rattlesnakes","ROCK",98,31,18
"Institutionalized","Suicidal Tendencies","ROCK",148,45,14
"Sedona","Houndmouth","ROCK",57,22,19
"Stranded","Gojira","ROCK",18,11,5
"Stressed Out","Twenty One Pilots","ROCK",247,72,22
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons","ROCK",501,376,342
"505","Arctic Monkeys","ROCK",40,14,13
"Highway Tune","Greta Van Fleet","ROCK",4,4,4
"Bad Company - 2015 Remaster","Bad Company","ROCK",428,259,225
"Plush","Stone Temple Pilots","ROCK",11,3,3
"Girls & Boys","Blur","ROCK",14,4,4
"Dream On","Aerosmith","ROCK",36,12,8
"Is This Love - 2018 Remaster","Whitesnake","ROCK",276,79,35
"Waiting for a Girl like You","Foreigner","ROCK",35,13,7
"Even Flow","Pearl Jam","ROCK",44,18,16
"Live And Let Die - 2018 Remaster","Wings","ROCK",964,304,234
"No Matter What - Remastered 2010","Badfinger","ROCK",197,30,10
"I Wanna Be Sedated","Ramones","ROCK",45,35,6
"Hey","Pixies","ROCK",120,56,4
"Your Wildest Dreams","The Moody Blues","ROCK",16,9,4
"The Kiss Of Venus (Dominic Fike)","Paul McCartney","ROCK",91,33,19
"Hysteria","Def Leppard","ROCK",16,10,5
"Fox On The Run","Sweet","ROCK",95,32,15
"Waterfall - Remastered","The Stone Roses","ROCK",168,57,51
"Alone Again Or - 2015 Remaster","Love","ROCK",428,259,225
"I Still Haven't Found What I'm Looking For","U2","ROCK",11,4,4
"Greek Tragedy","The Wombats","ROCK",14,8,7
"I Talk To The Wind","King Crimson","ROCK",6,3,3
"Used to the Darkness","Des Rocs","ROCK",339,95,18
"Cut Your Hair","Pavement","ROCK",32,31,5
"Hello It's Me","Todd Rundgren","ROCK",170,22,18
"Take A Picture","Filter","ROCK",136,32,14
"Gimme All Your Lovin'","ZZ Top","ROCK",5,3,3
"Perfect Strangers","Deep Purple","ROCK",8,4,4
"Can't Let Go","Robert Plant","ROCK",78,9,9
"Talk Dirty To Me","Poison","ROCK",32,17,8
"Bang Bang","Jessie J","DANCE POP",572,189,77
"On The Floor","Jennifer Lopez","DANCE POP",741,385,103
"Don't Cha","The Pussycat Dolls","DANCE POP",675,223,113
"The Sweet Escape","Gwen Stefani","DANCE POP",418,181,34
"Big Girls Don't Cry (Personal)","Fergie","DANCE POP",13,11,8
"Bleeding Love","Leona Lewis","DANCE POP",39,18,8
"TiK ToK","Kesha","DANCE POP",198,80,45
"Santo","Christina Aguilera","DANCE POP",338,256,110
"Wannabe","Spice Girls","DANCE POP",442,134,34
"Promiscuous","Nelly Furtado","DANCE POP",387,106,84
"Poison","Rita Ora","DANCE POP",356,142,20
"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony","DANCE POP",583,404,262
"Scream & Shout","will.i.am","DANCE POP",258,129,40
"Too Little Too Late","JoJo","DANCE POP",346,80,40
"Glad You Came","The Wanted","DANCE POP",96,18,7
"Unwritten","Natasha Bedingfield","DANCE POP",16,10,5
"About You Now","Sugababes","DANCE POP",95,18,9
"Call Me Maybe","Carly Rae Jepsen","DANCE POP",46,14,6
"Want U Back","Cher Lloyd","DANCE POP",561,120,41
"Toxic","Britney Spears","DANCE POP",111,31,13
"Stronger (What Doesn't Kill You)","Kelly Clarkson","DANCE POP",172,48,18
"Love You Like A Love Song","Selena Gomez & The Scene","DANCE POP",260,127,10
"Can't Get You out of My Head","Kylie Minogue","DANCE POP",113,71,5
"Say My Name","Destiny's Child","DANCE POP",970,317,67
"Fancy","Iggy Azalea","DANCE POP",220,66,55
"What About Us","The Saturdays","DANCE POP",494,147,45
"Dynamite","Taio Cruz","DANCE POP",162,73,34
"One, Two Step (feat. Missy Elliott)","Ciara","DANCE POP",363,266,189
"Troublemaker (feat. Flo Rida)","Olly Murs","DANCE POP",894,589,366
"Don't Hold Your Breath","Nicole Scherzinger","DANCE POP",170,45,22
"Beautiful Girls","Sean Kingston","DANCE POP",228,47,40
"Acapulco","Jason Derulo","DANCE POP",68,32,11
"What Dreams Are Made Of","Hilary Duff","DANCE POP",143,53,15
"Motivation","Kelly Rowland","DANCE POP",239,66,27
"Love Machine","Girls Aloud","DANCE POP",84,33,25
"Beautiful Soul","Jesse McCartney","DANCE POP",20,17,6
"Lush Life","Zara Larsson","DANCE POP",119,43,28
"Where Did You Go? (feat. MNEK)","Jax Jones","DANCE POP",158,132,55
"Knock You Down","Keri Hilson","DANCE POP",611,163,83
"Don't Call Me Up","Mabel","DANCE POP",81,22,16
"Beg For You (feat. Rina Sawayama)","Charli XCX","DANCE POP",513,364,330
"Do It Again","Pia Mia","DANCE POP",451,146,75
"Heart Attack","Demi Lovato","DANCE POP",134,38,25
"I Gotta Feeling","Black Eyed Peas","DANCE POP",594,173,59
"Cake By The Ocean","DNCE","DANCE POP",330,138,45
"With You","Jessica Simpson","DANCE POP",107,20,10
"Fight For This Love","Cheryl","DANCE POP",449,167,34
"Sissy That Walk","RuPaul","DANCE POP",43,20,19
"Stars Are Blind","Paris Hilton","DANCE POP",55,15,8
"Bring It All Back","S Club 7","DANCE POP",440,166,20
"Coconuts","Kim Petras","DANCE POP",200,61,25
"Together Again","Janet Jackson","DANCE POP",259,77,36
"Down","Jay Sean","DANCE POP",246,58,12
"The Tide Is High - Radio Mix","Atomic Kitten","DANCE POP",431,78,25
"Regardless","RAYE","DANCE POP",22,19,4
"2 On (feat. ScHoolboy Q)","Tinashe","DANCE POP",210,68,31
"It's Alright, It's OK","Ashley Tisdale","DANCE POP",104,21,11
"The Middle","Zedd","DANCE POP",113,30,8
"All About Tonight","Pixie Lott","DANCE POP",217,63,33
"Untouched","The Veronicas","DANCE POP",300,96,37
"Pieces Of Me","Ashlee Simpson","DANCE POP",65,19,10
"You for Me","Sigala","DANCE POP",79,22,19
"Uptown Funk (feat. Bruno Mars)","Mark Ronson","DANCE POP",628,471,262
"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit","DANCE POP",312,232,197
"Milkshake","Kelis","DANCE POP",70,16,9
"Rocketeer","Far East Movement","DANCE POP",201,58,40
"Pure Shores","All Saints","DANCE POP",391,135,37
"Solo Dance","Martin Jensen","DANCE POP",22,22,4
"Dancing On My Own","Robyn","DANCE POP",90,21,16
"Halo","Beyoncé","DANCE POP",60,30,4
